n,u_n,v_n,w_n,abs_s_n,is_prime
1,0,0,0,0,0
2,1,2.0943951023931955e-10,0,1,1
3,1,3.1415926535897934e-10,0,1,1
4,2,4.188790204786391e-10,0,2,0
5,1,5.235987755982989e-10,0,1,1
6,2,5.235987755982989e-10,0,2,0
7,1,7.330382858376184e-10,0,1,1
8,3,6.283185307179587e-10,0,3,0
9,2,6.283185307179587e-10,0,2,0
10,2,7.330382858376184e-10,0,2,0
11,1,1.1519173063162575e-9,0,1,1
12,3,7.330382858376185e-10,0,3,0
13,1,1.3613568165555772e-9,0,1,1
14,2,9.42477796076938e-10,0,2,0
15,2,8.377580409572782e-10,0,2,0
16,4,8.377580409572782e-10,0,4,0
17,1,1.7802358370342162e-9,0,1,1
18,3,8.377580409572782e-10,0,3,0
19,1,1.9896753472735356e-9,0,1,1
20,3,9.42477796076938e-10,0,3,0
21,2,1.0471975511965977e-9,0,2,0
22,2,1.3613568165555772e-9,0,2,0
23,1,2.408554367752175e-9,0,1,1
24,4,9.42477796076938e-10,0,4,0
25,2,1.0471975511965977e-9,0,2,0
26,2,1.5707963267948968e-9,0,2,0
27,3,9.42477796076938e-10,0,3,0
28,3,1.1519173063162575e-9,0,3,0
29,1,3.0368728984701334e-9,0,1,1
30,3,1.0471975511965977e-9,0,3,0
31,1,3.246312408709453e-9,0,1,1
32,5,1.0471975511965977e-9,0,5,0
33,2,1.466076571675237e-9,0,2,0
34,2,1.9896753472735356e-9,0,2,0
35,2,1.2566370614359174e-9,0,2,0
36,4,1.0471975511965977e-9,0,4,0
37,1,3.8746309394274115e-9,0,1,1
38,2,2.1991148575128553e-9,0,2,0
39,2,1.6755160819145566e-9,0,2,0
40,4,1.1519173063162575e-9,0,4,0
41,1,4.293509959906051e-9,0,1,1
42,3,1.2566370614359174e-9,0,3,0
43,1,4.50294947014537e-9,0,1,1
44,3,1.5707963267948966e-9,0,3,0
45,3,1.1519173063162575e-9,0,3,0
46,2,2.6179938779914945e-9,0,2,0
47,1,4.92182849062401e-9,0,1,1
48,5,1.1519173063162575e-9,0,5,0
49,2,1.4660765716752368e-9,0,2,0
50,3,1.2566370614359174e-9,0,3,0
51,2,2.0943951023931954e-9,0,2,0
52,3,1.7802358370342162e-9,0,3,0
53,1,5.5501470213419685e-9,0,1,1
54,4,1.1519173063162575e-9,0,4,0
